Format Version,1.23,Take Name,Take 2024-01-10 11.43.30 AM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-01-10 11.43.30.991 ,Total Frames in Take,5832,Total Exported Frames,5832,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 001,RigidBody 001,RigidBody 001,RigidBody 001,RigidBody 001,RigidBody 001,RigidBody 001
,ID,"3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D","3D2A2A1EAFA411EE7FE6B7EAD028689D"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
61,0.610000,-0.001341,0.004487,0.007561,-0.999961,37.493073,688.006653,170.976746
62,0.620000,-0.001120,0.004650,0.007826,-0.999958,37.495693,688.030273,170.942352
63,0.630000,-0.002019,0.003470,0.008305,-0.999958,37.429722,688.093445,170.903229
64,0.640000,-0.002155,0.003926,0.007901,-0.999959,37.449680,688.093811,170.901306
65,0.650000,-0.002104,0.003609,0.007781,-0.999961,37.441139,688.082520,170.910233
66,0.660000,-0.001275,0.004292,0.007443,-0.999962,37.479057,688.014893,170.964996
67,0.670000,-0.001169,0.004292,0.007577,-0.999961,37.493763,688.009766,170.965790
68,0.680000,-0.001250,0.003835,0.008064,-0.999959,37.460346,688.026306,170.964081
69,0.690000,-0.001232,0.004548,0.007701,-0.999959,37.495850,688.015808,170.955521
70,0.700000,-0.001268,0.004500,0.007670,-0.999960,37.490627,688.017517,170.968277
71,0.710000,-0.001407,0.004209,0.007507,-0.999962,37.485386,688.014893,170.987350
72,0.720000,-0.001216,0.004655,0.007632,-0.999959,37.498348,688.010071,170.960831
73,0.730000,-0.001259,0.004433,0.007482,-0.999961,37.496571,688.008728,170.973892
74,0.740000,-0.002103,0.003690,0.007821,-0.999960,37.447433,688.099609,170.899811
75,0.750000,-0.001327,0.004389,0.007647,-0.999960,37.493671,688.015991,170.969925
76,0.760000,-0.001143,0.004204,0.007391,-0.999963,37.480522,688.005249,170.966934
77,0.770000,-0.001347,0.004409,0.007654,-0.999960,37.498745,688.008911,170.982300
78,0.780000,-0.002008,0.003968,0.007901,-0.999959,37.450420,688.096802,170.895660
79,0.790000,-0.002156,0.003561,0.007882,-0.999960,37.441509,688.092590,170.927353
80,0.800000,-0.000995,0.004639,0.007659,-0.999959,37.501793,688.007324,170.943558
81,0.810000,-0.001290,0.004417,0.007622,-0.999960,37.487679,688.019470,170.967285
82,0.820000,-0.001257,0.004632,0.007667,-0.999959,37.498535,688.015747,170.961884
83,0.830000,-0.002057,0.003917,0.007934,-0.999959,37.454525,688.088074,170.892151
84,0.840000,-0.002194,0.004027,0.007807,-0.999959,37.442623,688.102112,170.885651
85,0.850000,-0.002022,0.003858,0.007949,-0.999959,37.454647,688.103088,170.896194
86,0.860000,-0.002132,0.003841,0.007709,-0.999961,37.450729,688.087646,170.906876
87,0.870000,-0.001997,0.004040,0.008022,-0.999958,37.457207,688.103699,170.885498
88,0.880000,-0.001191,0.004458,0.007645,-0.999960,37.493469,688.016541,170.960098
89,0.890000,-0.001340,0.004273,0.007482,-0.999962,37.499023,688.020569,170.977921
90,0.900000,-0.001183,0.004047,0.008211,-0.999957,37.464012,688.024231,170.963547
91,0.910000,-0.002094,0.003961,0.007808,-0.999959,37.466778,688.087402,170.905045
92,0.920000,-0.001141,0.004450,0.007668,-0.999960,37.490772,688.015686,170.948944
93,0.930000,-0.001227,0.004296,0.007564,-0.999961,37.491116,688.007568,170.964493
94,0.940000,-0.000891,0.004574,0.008455,-0.999953,37.487289,688.010193,170.932465
95,0.950000,-0.001131,0.004549,0.007587,-0.999960,37.494499,688.018250,170.954727
96,0.960000,-0.002226,0.003818,0.007677,-0.999961,37.439388,688.081726,170.908112
97,0.970000,-0.001268,0.004447,0.007572,-0.999961,37.493320,688.011536,170.967529
98,0.980000,-0.001186,0.004490,0.007637,-0.999960,37.500122,688.018860,170.960495
99,0.990000,-0.001092,0.004492,0.007583,-0.999961,37.499939,688.014343,170.958496
100,1.000000,-0.001253,0.004389,0.007449,-0.999962,37.492237,688.011475,170.968933
101,1.010000,-0.001256,0.004488,0.007611,-0.999960,37.491627,688.010010,170.970108
102,1.020000,-0.002236,0.003602,0.007941,-0.999960,37.446968,688.101257,170.913376
103,1.030000,-0.002300,0.004040,0.007851,-0.999958,37.449051,688.099731,170.908676
104,1.040000,-0.001106,0.004542,0.007614,-0.999960,37.496822,688.021179,170.957672
105,1.050000,-0.001303,0.004237,0.007460,-0.999962,37.491817,688.004944,170.985901
106,1.060000,-0.001166,0.004501,0.007601,-0.999960,37.496380,688.019470,170.965149
107,1.070000,-0.001150,0.004634,0.007593,-0.999960,37.492100,688.014221,170.956360
108,1.080000,-0.001329,0.004620,0.007694,-0.999959,37.498436,688.014343,170.967209
109,1.090000,-0.002158,0.003722,0.008073,-0.999958,37.438290,688.094604,170.901840
110,1.100000,-0.001965,0.004246,0.007803,-0.999959,37.469448,688.099915,170.877747
111,1.110000,-0.001090,0.004413,0.007649,-0.999960,37.497894,688.014954,170.961548
112,1.120000,-0.001134,0.004897,0.007749,-0.999957,37.514645,688.026367,170.944794
113,1.130000,-0.001210,0.004043,0.008143,-0.999958,37.453899,688.018677,170.954605
114,1.140000,-0.002148,0.003738,0.007894,-0.999960,37.448090,688.093872,170.908356
115,1.150000,-0.002171,0.003814,0.007867,-0.999960,37.430420,688.104492,170.895844
116,1.160000,-0.000992,0.004490,0.007789,-0.999959,37.498646,688.013794,170.939682
117,1.170000,-0.001257,0.004268,0.007481,-0.999962,37.489910,688.003052,170.977570
118,1.180000,-0.001261,0.004489,0.007501,-0.999961,37.498039,688.008850,170.968536
119,1.190000,-0.001133,0.004388,0.007516,-0.999962,37.487331,688.011292,170.966629
120,1.200000,-0.001178,0.003885,0.008130,-0.999959,37.461494,688.018860,170.958145
121,1.210000,-0.002117,0.004095,0.008129,-0.999956,37.445942,688.095032,170.894699
122,1.220000,-0.002164,0.003636,0.007901,-0.999960,37.434582,688.090088,170.903030
123,1.230000,-0.001132,0.004348,0.007504,-0.999962,37.487431,688.007263,170.968475
124,1.240000,-0.001175,0.004426,0.007504,-0.999961,37.489189,688.012756,170.962708
125,1.250000,-0.002053,0.003881,0.007807,-0.999960,37.438961,688.087646,170.890717
126,1.260000,-0.001157,0.004398,0.007613,-0.999961,37.494549,688.016113,170.958359
127,1.270000,-0.002212,0.004016,0.007719,-0.999960,37.460354,688.102966,170.902222
128,1.280000,-0.001160,0.004433,0.007673,-0.999960,37.492748,688.005371,170.964874
129,1.290000,-0.001172,0.004421,0.007711,-0.999960,37.501884,688.015381,170.950638
130,1.300000,-0.001301,0.004345,0.007545,-0.999961,37.489395,688.020935,170.973297
131,1.310000,-0.001326,0.003976,0.007181,-0.999965,37.474926,688.008728,170.989044
132,1.320000,-0.002134,0.003880,0.008008,-0.999958,37.448612,688.102417,170.892273
133,1.330000,-0.001219,0.004325,0.007537,-0.999962,37.487255,688.014648,170.966568
134,1.340000,-0.001227,0.004214,0.007522,-0.999962,37.491634,688.004761,170.974808
135,1.350000,-0.002058,0.003951,0.007969,-0.999958,37.451824,688.088745,170.892960
136,1.360000,-0.002067,0.003856,0.008033,-0.999958,37.446159,688.102295,170.896713
137,1.370000,-0.001245,0.004253,0.007439,-0.999963,37.478062,688.015137,170.966431
138,1.380000,-0.001502,0.004382,0.007498,-0.999961,37.490665,688.005493,170.993011
139,1.390000,-0.002165,0.003706,0.007956,-0.999959,37.443619,688.104431,170.904099
140,1.400000,-0.001136,0.004542,0.007576,-0.999960,37.497620,688.003662,170.961029
141,1.410000,-0.002180,0.003880,0.007659,-0.999961,37.445656,688.087158,170.906281
142,1.420000,-0.001255,0.004221,0.007352,-0.999963,37.481293,688.002136,170.979538
143,1.430000,-0.001988,0.003929,0.007883,-0.999959,37.443787,688.104126,170.885193
144,1.440000,-0.001251,0.004587,0.007674,-0.999959,37.503548,688.002258,170.964859
145,1.450000,-0.000904,0.004734,0.007854,-0.999958,37.503639,688.023560,170.923782
146,1.460000,-0.001124,0.004509,0.007633,-0.999960,37.492329,688.018921,170.956284
147,1.470000,-0.002395,0.003576,0.008123,-0.999958,37.426552,688.108093,170.917603
148,1.480000,-0.001202,0.004528,0.007547,-0.999961,37.489525,688.017395,170.967438
149,1.490000,-0.001366,0.004184,0.007516,-0.999962,37.487892,688.009460,170.979965
150,1.500000,-0.001199,0.004546,0.007622,-0.999960,37.490822,688.009399,170.957306
151,1.510000,-0.001200,0.004470,0.007656,-0.999960,37.492111,688.006897,170.961365
152,1.520000,-0.002280,0.003811,0.007853,-0.999959,37.442379,688.095947,170.908585
153,1.530000,-0.002083,0.003769,0.007817,-0.999960,37.452618,688.097534,170.900482
154,1.540000,-0.002134,0.003696,0.007786,-0.999961,37.441319,688.085693,170.910553
155,1.550000,-0.001964,0.003864,0.007819,-0.999960,37.445747,688.102356,170.886002
156,1.560000,-0.002176,0.003928,0.007898,-0.999959,37.455379,688.098389,170.904175
157,1.570000,-0.001322,0.004090,0.007349,-0.999964,37.479637,688.014160,170.982498
158,1.580000,-0.001161,0.004481,0.007666,-0.999960,37.497818,688.020020,170.961090
159,1.590000,-0.002211,0.003821,0.007753,-0.999960,37.443642,688.098328,170.915741
160,1.600000,-0.002064,0.003702,0.007673,-0.999962,37.428795,688.087341,170.901962
161,1.610000,-0.001184,0.004452,0.007715,-0.999960,37.501328,688.020935,170.964371
162,1.620000,-0.001304,0.004028,0.007379,-0.999964,37.479542,688.010437,170.982101
163,1.630000,-0.001146,0.004515,0.007588,-0.999960,37.498192,688.022217,170.954071
164,1.640000,-0.002223,0.003791,0.007709,-0.999961,37.440460,688.094360,170.904953
165,1.650000,-0.001241,0.004546,0.007651,-0.999960,37.498699,688.009888,170.965134
166,1.660000,-0.002036,0.003976,0.008087,-0.999957,37.445301,688.106812,170.892639
167,1.670000,-0.001251,0.004599,0.007713,-0.999959,37.494194,688.001587,170.965683
168,1.680000,-0.000979,0.004315,0.007625,-0.999961,37.494953,688.016418,170.949387
169,1.690000,-0.001298,0.004169,0.007482,-0.999963,37.485050,688.000305,170.980621
170,1.700000,-0.001082,0.004366,0.007570,-0.999961,37.490685,688.004700,170.962830
171,1.710000,-0.001965,0.004004,0.007851,-0.999959,37.452827,688.097107,170.888214
172,1.720000,-0.002210,0.003896,0.007872,-0.999959,37.448269,688.098816,170.908310
173,1.730000,-0.001891,0.003898,0.007909,-0.999959,37.443928,688.096741,170.889435
174,1.740000,-0.001118,0.004762,0.007818,-0.999958,37.503960,688.016113,170.947403
175,1.750000,-0.001399,0.004631,0.007660,-0.999959,37.497540,688.015808,170.977188
176,1.760000,-0.001243,0.004409,0.007569,-0.999961,37.484394,688.015930,170.963089
177,1.770000,-0.001166,0.004434,0.007607,-0.999961,37.486595,688.004883,170.955566
178,1.780000,-0.002181,0.003952,0.008329,-0.999955,37.440945,688.107605,170.891434
179,1.790000,-0.001174,0.004332,0.007549,-0.999961,37.490284,688.003845,170.970978
180,1.800000,-0.001228,0.004327,0.007631,-0.999961,37.487873,688.014282,170.964539
181,1.810000,-0.001124,0.004433,0.007575,-0.999961,37.499161,688.002197,170.965820
182,1.820000,-0.002198,0.003451,0.007965,-0.999960,37.430973,688.091309,170.917480
183,1.830000,-0.002160,0.004036,0.007802,-0.999959,37.448635,688.090942,170.895386
184,1.840000,-0.001252,0.004413,0.007702,-0.999960,37.498711,688.022583,170.963608
185,1.850000,-0.002138,0.003886,0.007941,-0.999959,37.446587,688.103333,170.898285
186,1.860000,-0.001121,0.004228,0.007604,-0.999962,37.492882,688.002136,170.962418
187,1.870000,-0.001154,0.004478,0.007536,-0.999961,37.497078,688.000977,170.962662
188,1.880000,-0.002131,0.003857,0.007830,-0.999960,37.456951,688.092896,170.913010
189,1.890000,-0.001202,0.004558,0.007484,-0.999961,37.485821,688.005310,170.961456
190,1.900000,-0.002129,0.003800,0.008161,-0.999957,37.438980,688.094116,170.890778
191,1.910000,-0.001139,0.004532,0.007591,-0.999960,37.498035,688.017090,170.959000
192,1.920000,-0.002244,0.004008,0.007953,-0.999958,37.453510,688.101257,170.899612
193,1.930000,-0.001288,0.004512,0.007712,-0.999959,37.492451,688.026428,170.963257
194,1.940000,-0.001229,0.004549,0.007481,-0.999961,37.494175,688.012878,170.966049
195,1.950000,-0.002104,0.003996,0.007703,-0.999960,37.452446,688.094604,170.894455
196,1.960000,-0.002000,0.004211,0.008008,-0.999957,37.465694,688.099609,170.879257
197,1.970000,-0.001234,0.004604,0.007646,-0.999959,37.504139,688.005615,170.966614
198,1.980000,-0.001246,0.004657,0.007729,-0.999959,37.502251,688.018494,170.961472
199,1.990000,-0.002074,0.003956,0.007849,-0.999959,37.455097,688.094360,170.894699
200,2.000000,-0.001247,0.004419,0.007537,-0.999961,37.494167,688.019043,170.975937
201,2.010000,-0.001281,0.004336,0.007625,-0.999961,37.491661,687.998047,170.971832
202,2.020000,-0.001186,0.004758,0.007789,-0.999958,37.496414,688.011108,170.954865
203,2.030000,-0.001249,0.004178,0.007476,-0.999963,37.479912,688.013794,170.977722
204,2.040000,-0.001335,0.004524,0.007674,-0.999959,37.492897,688.017822,170.970947
205,2.050000,-0.002080,0.003927,0.007846,-0.999959,37.459846,688.094482,170.907944
206,2.060000,-0.001235,0.004242,0.007457,-0.999962,37.478840,688.003113,170.967117
207,2.070000,-0.001373,0.004212,0.007494,-0.999962,37.488045,688.012634,170.990891
208,2.080000,-0.001202,0.004422,0.007577,-0.999961,37.493103,688.007568,170.970276
209,2.090000,-0.001158,0.004595,0.007747,-0.999959,37.503574,688.018433,170.946426
